time,x,y,z
10820,7,14,-215
10830,3,16,-216
10840,2,17,-216
10850,2,15,-215
10860,3,14,-213
10870,5,19,-212
10880,5,19,-208
10890,6,18,-206
10900,7,18,-205
10910,8,20,-205
10920,8,23,-206
10930,9,25,-205
10940,10,23,-205
10950,7,27,-204
10960,4,27,-203
10970,2,27,-203
10980,3,29,-202
10990,3,33,-201
11000,0,37,-200
11010,-2,39,-198
11020,-1,40,-197
11030,0,45,-197
11040,1,49,-198
11050,1,51,-200
11060,1,53,-202
11070,3,50,-202
11080,5,47,-201
11090,8,48,-200
11100,8,53,-199
11110,6,56,-199
11120,3,61,-198
11130,1,67,-197
11140,0,71,-196
11150,4,73,-198
11160,4,75,-198
11170,0,76,-195
11180,-4,78,-191
11190,-8,82,-188
11200,-6,86,-187
11210,0,88,-188
11220,5,84,-188
11230,6,86,-189
11240,8,88,-190
11250,11,91,-190
11260,14,96,-190
11270,13,98,-186
11280,7,101,-178
11290,-3,101,-171
11300,-12,103,-168
11310,-12,106,-173
11320,-6,109,-179
11330,1,110,-185
11340,5,111,-186
11350,6,113,-183
11360,3,117,-177
11370,0,118,-172
11380,0,121,-170
11390,5,121,-171
11400,12,120,-173
11410,17,119,-174
11420,22,119,-174
11430,23,120,-169
11440,23,122,-163
11450,23,124,-158
11460,19,124,-152
11470,12,123,-145
11480,6,126,-142
11490,5,125,-144
11500,11,123,-147
11510,20,122,-151
11520,25,125,-154
11530,26,131,-155
11540,24,137,-154
11550,19,140,-151
11560,10,142,-147
11570,4,144,-142
11580,3,145,-140
11590,9,144,-140
11600,16,140,-139
11610,22,138,-139
11620,24,134,-137
11630,23,132,-136
11640,21,132,-134
11650,16,136,-131
11660,13,143,-130
11670,12,146,-131
11680,12,147,-132
11690,14,146,-129
11700,18,145,-133
11710,19,144,-136
11720,18,143,-131
11730,13,145,-131
11740,8,150,-131
11750,3,156,-132
11760,-1,161,-129
11770,0,161,-135
11780,4,160,-134
11790,8,157,-140
11800,13,158,-140
11810,15,157,-139
11820,15,162,-139
11830,13,161,-134
11840,4,160,-131
11850,-4,166,-128
11860,-9,167,-124
11870,-6,164,-121
11880,-1,168,-125
11890,4,169,-127
11900,6,170,-124
